site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
caas-2node,mpi,4000000,8,1,block,1024,3,6,0.089269,33334
caas-2node,mpi,4000000,8,1,block,1024,3,7,0.095205,32996
caas-2node,mpi,4000000,8,1,cyclic,1024,1,0,0.069149,35406
caas-2node,mpi,4000000,8,1,cyclic,1024,1,1,0.069050,35375
caas-2node,mpi,4000000,8,1,cyclic,1024,1,2,0.069144,35437
caas-2node,mpi,4000000,8,1,cyclic,1024,1,3,0.069290,35352
caas-2node,mpi,4000000,8,1,cyclic,1024,1,4,0.069293,35418
caas-2node,mpi,4000000,8,1,cyclic,1024,1,5,0.069450,35432
caas-2node,mpi,4000000,8,1,cyclic,1024,1,6,0.069306,35383
caas-2node,mpi,4000000,8,1,cyclic,1024,1,7,0.069183,35343
caas-2node,mpi,4000000,8,1,cyclic,1024,2,0,0.080298,35406
caas-2node,mpi,4000000,8,1,cyclic,1024,2,1,0.069083,35375
caas-2node,mpi,4000000,8,1,cyclic,1024,2,2,0.069158,35437
caas-2node,mpi,4000000,8,1,cyclic,1024,2,3,0.069180,35352
caas-2node,mpi,4000000,8,1,cyclic,1024,2,4,0.119634,35418
caas-2node,mpi,4000000,8,1,cyclic,1024,2,5,0.069234,35432
caas-2node,mpi,4000000,8,1,cyclic,1024,2,6,0.069141,35383
caas-2node,mpi,4000000,8,1,cyclic,1024,2,7,0.069221,35343
caas-2node,mpi,4000000,8,1,cyclic,1024,3,0,0.069141,35406
caas-2node,mpi,4000000,8,1,cyclic,1024,3,1,0.069325,35375
caas-2node,mpi,4000000,8,1,cyclic,1024,3,2,0.069298,35437
caas-2node,mpi,4000000,8,1,cyclic,1024,3,3,0.069637,35352
caas-2node,mpi,4000000,8,1,cyclic,1024,3,4,0.070727,35418
caas-2node,mpi,4000000,8,1,cyclic,1024,3,5,0.070384,35432
caas-2node,mpi,4000000,8,1,cyclic,1024,3,6,0.072698,35383
caas-2node,mpi,4000000,8,1,cyclic,1024,3,7,0.071156,35343
caas-2node,mpi,4000000,8,1,blockcyclic,1024,1,0,0.069569,35436
caas-2node,mpi,4000000,8,1,blockcyclic,1024,1,1,0.069375,35262
caas-2node,mpi,4000000,8,1,blockcyclic,1024,1,2,0.069003,35470
caas-2node,mpi,4000000,8,1,blockcyclic,1024,1,3,0.069200,35335
caas-2node,mpi,4000000,8,1,blockcyclic,1024,1,4,0.070446,35465
caas-2node,mpi,4000000,8,1,blockcyclic,1024,1,5,0.076191,35327
caas-2node,mpi,4000000,8,1,blockcyclic,1024,1,6,0.070477,35440
caas-2node,mpi,4000000,8,1,blockcyclic,1024,1,7,0.108070,35411
caas-2node,mpi,4000000,8,1,blockcyclic,1024,2,0,0.069550,35436
caas-2node,mpi,4000000,8,1,blockcyclic,1024,2,1,0.069077,35262
caas-2node,mpi,4000000,8,1,blockcyclic,1024,2,2,0.069334,35470
caas-2node,mpi,4000000,8,1,blockcyclic,1024,2,3,0.069126,35335
caas-2node,mpi,4000000,8,1,blockcyclic,1024,2,4,0.069985,35465
caas-2node,mpi,4000000,8,1,blockcyclic,1024,2,5,0.069590,35327
caas-2node,mpi,4000000,8,1,blockcyclic,1024,2,6,0.069974,35440
caas-2node,mpi,4000000,8,1,blockcyclic,1024,2,7,0.069860,35411
caas-2node,mpi,4000000,8,1,blockcyclic,1024,3,0,0.069818,35436
caas-2node,mpi,4000000,8,1,blockcyclic,1024,3,1,0.069365,35262
caas-2node,mpi,4000000,8,1,blockcyclic,1024,3,2,0.069348,35470
caas-2node,mpi,4000000,8,1,blockcyclic,1024,3,3,0.069082,35335
caas-2node,mpi,4000000,8,1,blockcyclic,1024,3,4,0.070255,35465
caas-2node,mpi,4000000,8,1,blockcyclic,1024,3,5,0.069326,35327
caas-2node,mpi,4000000,8,1,blockcyclic,1024,3,6,0.070429,35440
caas-2node,mpi,4000000,8,1,blockcyclic,1024,3,7,0.070119,35411
caas-2node,mpi,4000000,8,1,wblock,1024,1,0,0.156587,78498
caas-2node,mpi,4000000,8,1,wblock,1024,1,1,0.073184,41757
caas-2node,mpi,4000000,8,1,wblock,1024,1,2,0.070760,34196
caas-2node,mpi,4000000,8,1,wblock,1024,1,3,0.069016,29959
caas-2node,mpi,4000000,8,1,wblock,1024,1,4,0.068186,27315
caas-2node,mpi,4000000,8,1,wblock,1024,1,5,0.067469,25294
caas-2node,mpi,4000000,8,1,wblock,1024,1,6,0.066090,23649
caas-2node,mpi,4000000,8,1,wblock,1024,1,7,0.076850,22478
caas-2node,mpi,4000000,8,1,wblock,1024,2,0,0.080130,78498
caas-2node,mpi,4000000,8,1,wblock,1024,2,1,0.071943,41757
caas-2node,mpi,4000000,8,1,wblock,1024,2,2,0.070542,34196
caas-2node,mpi,4000000,8,1,wblock,1024,2,3,0.068721,29959
caas-2node,mpi,4000000,8,1,wblock,1024,2,4,0.067843,27315
caas-2node,mpi,4000000,8,1,wblock,1024,2,5,0.066890,25294
caas-2node,mpi,4000000,8,1,wblock,1024,2,6,0.066708,23649
caas-2node,mpi,4000000,8,1,wblock,1024,2,7,0.066075,22478
caas-2node,mpi,4000000,8,1,wblock,1024,3,0,0.116405,78498
caas-2node,mpi,4000000,8,1,wblock,1024,3,1,0.073448,41757
caas-2node,mpi,4000000,8,1,wblock,1024,3,2,0.070828,34196
caas-2node,mpi,4000000,8,1,wblock,1024,3,3,0.069081,29959
caas-2node,mpi,4000000,8,1,wblock,1024,3,4,0.068158,27315
caas-2node,mpi,4000000,8,1,wblock,1024,3,5,0.067692,25294
caas-2node,mpi,4000000,8,1,wblock,1024,3,6,0.066482,23649
caas-2node,mpi,4000000,8,1,wblock,1024,3,7,0.067986,22478
