site,impl,n,procs,threads,dist,chunk,sched,sched_chunk,run,total,bcast,comp_max,comp_min,comp_avg,gather,merge,write,count,wall
caas-2node,hybrid,1000000,4,4,blockcyclic,1024,dynamic,64,1,0.027158,0.000027,0.012465,0.012016,0.012147,0.012308,0.000622,0.002116,78498,0.449323
caas-2node,hybrid,1000000,4,4,blockcyclic,1024,dynamic,64,2,0.026252,0.000037,0.012172,0.012027,0.012089,0.011508,0.000571,0.001964,78498,0.444715
caas-2node,hybrid,1000000,4,4,blockcyclic,1024,dynamic,64,3,0.028208,0.000034,0.012273,0.011997,0.012173,0.011875,0.000816,0.003211,78498,0.451399
caas-2node,hybrid,1000000,4,4,blockcyclic,1024,guided,64,1,0.028535,0.000048,0.015824,0.011996,0.013540,0.010193,0.000636,0.001834,78498,0.451547
caas-2node,hybrid,1000000,4,4,blockcyclic,1024,guided,64,2,0.026910,0.000067,0.012199,0.012154,0.012176,0.011932,0.000605,0.002107,78498,0.447845
caas-2node,hybrid,1000000,4,4,blockcyclic,1024,guided,64,3,0.026777,0.000031,0.012199,0.012054,0.012127,0.012078,0.000577,0.001964,78498,0.441981
caas-2node,hybrid,2000000,4,4,blockcyclic,1024,static,64,1,0.035160,0.000033,0.017064,0.016616,0.016858,0.013379,0.001146,0.003778,148933,0.443019
caas-2node,hybrid,2000000,4,4,blockcyclic,1024,static,64,2,0.034790,0.000032,0.016872,0.016685,0.016791,0.012928,0.001181,0.003789,148933,0.456846
caas-2node,hybrid,2000000,4,4,blockcyclic,1024,static,64,3,0.038973,0.000041,0.021058,0.016607,0.018871,0.012793,0.001100,0.003981,148933,0.464325
caas-2node,hybrid,2000000,4,4,blockcyclic,1024,dynamic,64,1,0.035670,0.000033,0.017114,0.016671,0.016838,0.013738,0.001194,0.003915,148933,0.455849
caas-2node,hybrid,2000000,4,4,blockcyclic,1024,dynamic,64,2,0.036405,0.000034,0.017667,0.016599,0.016986,0.014602,0.001209,0.003709,148933,0.450475
caas-2node,hybrid,2000000,4,4,blockcyclic,1024,dynamic,64,3,0.036231,0.000034,0.016928,0.016818,0.016857,0.013657,0.001147,0.004530,148933,0.458641
caas-2node,hybrid,2000000,4,4,blockcyclic,1024,guided,64,1,0.035472,0.000031,0.022786,0.016901,0.018416,0.013443,0.001156,0.003877,148933,0.458901
caas-2node,hybrid,2000000,4,4,blockcyclic,1024,guided,64,2,0.035573,0.000032,0.016915,0.016811,0.016859,0.013540,0.001175,0.004015,148933,0.455212
caas-2node,hybrid,2000000,4,4,blockcyclic,1024,guided,64,3,0.043392,0.000035,0.025094,0.016799,0.020501,0.021546,0.001222,0.003791,148933,0.495692
caas-2node,hybrid,4000000,4,4,blockcyclic,1024,static,64,1,0.083909,0.000035,0.068625,0.047805,0.057229,0.006407,0.002200,0.006641,283146,0.542125
caas-2node,hybrid,4000000,4,4,blockcyclic,1024,static,64,2,0.098823,0.000041,0.075102,0.059344,0.067198,0.015403,0.002209,0.006908,283146,0.565211
caas-2node,hybrid,4000000,4,4,blockcyclic,1024,static,64,3,0.083690,0.000035,0.060003,0.040647,0.049999,0.033742,0.002193,0.006881,283146,0.528112
caas-2node,hybrid,4000000,4,4,blockcyclic,1024,dynamic,64,1,0.072266,0.000034,0.047713,0.040853,0.043797,0.021988,0.002412,0.006980,283146,0.517617
