site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,2,5,0.322893,4179024
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,2,0,0.307257,4197106
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,2,1,0.321276,3867302
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,2,2,0.321214,3760477
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,2,3,0.342261,3694601
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,2,4,0.322166,3646840
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,2,5,0.330616,3609987
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,2,6,0.313973,3579554
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,2,0,0.238639,3701487
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,2,1,0.231241,3408655
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,2,2,0.251168,3314265
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,2,3,0.228047,3254911
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,2,4,0.265936,3212954
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,2,5,0.239957,3179482
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,2,6,0.244933,3153228
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,2,7,0.246544,3130885
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,2,0,0.615957,3296072
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,2,1,0.626762,3294233
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,2,2,0.595128,3292513
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,2,3,0.608951,3294073
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,2,4,0.620326,3294503
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,2,5,0.576506,3294966
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,2,6,0.623396,3294921
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,2,7,0.612861,3294586
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,2,0,0.853728,7110142
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,2,1,0.369667,3886385
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,2,2,0.346106,3199904
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,2,3,0.288725,2822625
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,2,4,0.260289,2571346
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,2,5,0.267594,2388489
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,2,6,0.407584,2246020
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,2,7,0.235170,2130956
ryzen7535hs,mpi_sieve,500000000,1,1,block,1024,3,0,1.436128,26355867
ryzen7535hs,mpi_sieve,500000000,2,1,block,1024,3,0,0.815640,13679318
ryzen7535hs,mpi_sieve,500000000,2,1,block,1024,3,1,0.833627,12676549
ryzen7535hs,mpi_sieve,500000000,3,1,block,1024,3,0,0.535347,9327002
ryzen7535hs,mpi_sieve,500000000,3,1,block,1024,3,1,0.543969,8628277
ryzen7535hs,mpi_sieve,500000000,3,1,block,1024,3,2,0.540507,8400588
ryzen7535hs,mpi_sieve,500000000,4,1,block,1024,3,0,0.446001,7110142
ryzen7535hs,mpi_sieve,500000000,4,1,block,1024,3,1,0.444862,6569176
ryzen7535hs,mpi_sieve,500000000,4,1,block,1024,3,2,0.460054,6392436
